shop_id,shop_name,shop_type,city,neighborhood,menu_url,menu_source,menu_source_status,raw_text_status,ai_extraction_status,human_review_status,output_file,notes
SEA014,Lune Cafe,Bakery / Dessert Cafe,Seattle,Pioneer Square,,,Unavailable,Blocked,Not applicable,Reviewed limitation,,"Official location page is public, but the Pioneer Square itemized menu is unavailable"
SEA015,Baiten,Bakery / Dessert Cafe,Seattle,Capitol Hill,,,Not checked,Full menu captured,Extracted,Reviewed,data/processed/ai_menu_extractions/sea015_menu_items.csv,
SEA016,Vale Matcha & Coffee,Matcha / Tea Shop,Seattle,Denny Triangle,,,Unavailable,Blocked,Not applicable,Reviewed limitation,,"Official site confirms the Seattle cafe and matcha source, but no cafe menu is published"
SEA017,Elixir,Bakery / Dessert Cafe,Seattle,University District,,,Not checked,Full menu captured,Extracted,Reviewed,data/processed/ai_menu_extractions/sea017_menu_items.csv,
SEA018,Jin Jin Matcha,Matcha / Tea Shop,Seattle,Downtown,,,Unavailable,Blocked,Not applicable,Reviewed limitation,,"Official brand site publishes a Tacoma menu, not a verified itemized Seattle menu"
SEA019,Miro Tea,Matcha / Tea Shop,Seattle,Ballard,,,Not checked,Full menu captured,Extracted,Reviewed,data/processed/ai_menu_extractions/sea019_menu_items.csv,
SEA020,Hello Em Việt Coffee & Roastery,Cafe / Coffee Shop,Seattle,Chinatown-International District,,,Not checked,Full menu captured,Extracted,Reviewed,data/processed/ai_menu_extractions/sea020_menu_items.csv,
SEA021,OH! Bear Cafe & TeaHouse,Boba / Bubble Tea Shop,Seattle,University District,,,Not checked,Full menu captured,Extracted,Reviewed,data/processed/ai_menu_extractions/sea021_menu_items.csv,
SEA022,Atulea,Boba / Bubble Tea Shop,Seattle,Capitol Hill,,,Not checked,Full menu captured,Extracted,Reviewed,data/processed/ai_menu_extractions/sea022_menu_items.csv,
SEA023,Coche Valley Dessert Cafe,Bakery / Dessert Cafe,Seattle,Capitol Hill,,,Not checked,Full menu captured,Extracted,Reviewed,data/processed/ai_menu_extractions/sea023_menu_items.csv,
SEA024,Yuu Tea Cafe,Boba / Bubble Tea Shop,Seattle,Columbia City,,,Not checked,Full menu captured,Extracted,Reviewed,data/processed/ai_menu_extractions/sea024_menu_items.csv,
SEA025,Aroom Coffee Waterfront,Cafe / Coffee Shop,Seattle,Downtown Waterfront,,,Not checked,Full menu captured,Extracted,Reviewed,data/processed/ai_menu_extractions/sea025_menu_items.csv,
SEA026,KOTO JELLY COFFEE,Bakery / Dessert Cafe,Seattle,First Hill,,,Not checked,Full menu captured,Extracted,Reviewed,data/processed/ai_menu_extractions/sea026_menu_items.csv,
SEA027,CU URBAN MARKET & CAFE,Cafe / Coffee Shop,Seattle,Downtown,,,Not checked,Full menu captured,Extracted,Reviewed,data/processed/ai_menu_extractions/sea027_menu_items.csv,
SEA028,Howdy Y'all Coffee (Central Library),Cafe / Coffee Shop,Seattle,Downtown,,,Not checked,Full menu captured,Extracted,Reviewed,data/processed/ai_menu_extractions/sea028_menu_items.csv,
