item_id,shop_id,drink_name,drink_category,flavor,available_hot,available_iced,size,min_price,max_price,milk_options,matcha_type_claim,menu_source,menu_url,date_collected,price_is_starting,extraction_evidence,review_status,analytics_price,has_price,has_flavor,is_flavored,has_matcha_type_claim,milk_option_count,size_option_count
ITM011,SEA001,Blueberry Matcha,Matcha Latte,Blueberry,False,True,16oz,9.5,9.5,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed,9.5,True,True,True,True,6,1
ITM012,SEA001,Black Sesame Matcha,Matcha Latte,Black Sesame,False,True,16oz,9.0,9.0,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed,9.0,True,True,True,True,6,1
ITM013,SEA001,Caramel Maca-iato,Matcha Latte,Caramel,True,True,12oz;16oz,8.5,9.5,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed,9.0,True,True,True,True,6,2
ITM014,SEA001,Coconut Matcha Latte,Matcha Latte,Coconut,False,True,16oz,8.5,8.5,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed,8.5,True,True,True,True,6,1
ITM015,SEA001,Banana Matcha,Matcha Smoothie,Banana,False,True,16oz,12.0,12.0,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed,12.0,True,True,True,True,6,1
ITM016,SEA002,Premium Uji Matcha Latte,Matcha Latte,Original,False,True,20oz,7.75,7.75,Whole; Oat,Uji,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28,False,Human-validated pilot menu record,Reviewed,7.75,True,True,False,True,2,1
ITM017,SEA002,Meiko Ceremonial Matcha Latte,Matcha Latte,Original,False,True,20oz,9.25,9.25,Whole; Oat,Ceremonial,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28,False,Human-validated pilot menu record,Reviewed,9.25,True,True,False,True,2,1
ITM018,SEA002,Earl Grey Matcha,Matcha Latte,Earl Grey,False,True,20oz,8.5,10.0,Whole; Oat,Uji; Ceremonial,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28,False,Human-validated pilot menu record,Reviewed,9.25,True,True,True,True,2,1
ITM019,SEA002,Cookie Butter Matcha Latte,Matcha Latte,Cookie Butter,False,True,20oz,9.0,10.5,Whole; Oat,Uji; Ceremonial,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28,False,Human-validated pilot menu record,Reviewed,9.75,True,True,True,True,2,1
ITM020,SEA002,Yuzu Matcha Latte,Matcha Latte,Yuzu Lemon,False,True,20oz,9.0,10.5,Whole; Oat,Uji; Ceremonial,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28,False,Human-validated pilot menu record,Reviewed,9.75,True,True,True,True,2,1
ITM021,SEA002,Pistachio Cream Matcha Latte,Matcha Latte,Pistachio,False,True,20oz,9.25,10.75,Whole; Oat,Uji; Ceremonial,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28,False,Human-validated pilot menu record,Reviewed,10.0,True,True,True,True,2,1
ITM022,SEA002,Mango Sticky Rice Matcha Latte,Matcha Latte,Mango,False,True,20oz,8.75,10.25,Whole,Uji; Ceremonial,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28,False,Human-validated pilot menu record,Reviewed,9.5,True,True,True,True,1,1
ITM023,SEA002,Mango Matcha Latte,Matcha Latte,Mango,False,True,20oz,8.0,9.5,Whole,Uji; Ceremonial,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28,False,Human-validated pilot menu record,Reviewed,8.75,True,True,True,True,1,1
ITM024,SEA002,Matcha Tiramisu Matcha Latte,Matcha Latte,Matcha Tiramisu,False,True,20oz,9.25,9.25,Whole,Uji; Ceremonial,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28,False,Human-validated pilot menu record,Reviewed,9.25,True,True,True,True,1,1
ITM025,SEA002,Strawberry Matcha,Matcha Latte,Strawberry,False,True,20oz,8.0,9.5,Whole,Uji; Ceremonial,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28,False,Human-validated pilot menu record,Reviewed,8.75,True,True,True,True,1,1
ITM026,SEA002,Banana Bread Matcha Latte,Matcha Latte,Banana,False,True,20oz,8.25,9.75,Whole; Oat,Uji; Ceremonial,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28,False,Human-validated pilot menu record,Reviewed,9.0,True,True,True,True,2,1
ITM027,SEA002,Matcha Brulee,Matcha Smoothie,Cream Brulee,False,True,20oz,8.75,8.75,,Uji,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28,False,Human-validated pilot menu record,Reviewed,8.75,True,True,True,True,0,1
ITM028,SEA002,Cloudy Oreo Matcha,Matcha Smoothie,Oreo,False,True,20oz,8.25,8.25,,Uji,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28,False,Human-validated pilot menu record,Reviewed,8.25,True,True,True,True,0,1
ITM029,SEA003,Triple Supreme Matcha Latte,Matcha Latte,Original,True,True,16oz,7.99,7.99,,,Official App,https://apps.apple.com/us/app/heytea/id6468945008,2026-08-28,False,Human-validated pilot menu record,Reviewed,7.99,True,True,False,False,0,1
ITM030,SEA003,Matcha Cloud Coconut Blue,Matcha Latte,Coconut,False,True,16oz,8.49,8.49,,,Official App,https://apps.apple.com/us/app/heytea/id6468945008,2026-08-28,False,Human-validated pilot menu record,Reviewed,8.49,True,True,True,False,0,1
ITM031,SEA003,Cloud Matcha Latte,Matcha Latte,Original,True,True,16oz,7.99,7.99,,,Official App,https://apps.apple.com/us/app/heytea/id6468945008,2026-08-28,False,Human-validated pilot menu record,Reviewed,7.99,True,True,False,False,0,1
SEA004-AI-001,SEA004,Matcha-Americano,Matcha,Original,True,True,16oz,5.5,5.5,,Ceremonial,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,False,Ceremonial matcha & water,Reviewed,5.5,True,True,False,True,0,1
SEA004-AI-002,SEA004,Matcha Latte,Matcha Latte,Original,True,True,12oz;16oz,7.0,8.0,,Ceremonial,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,True,"Organic ceremonial matcha, milk, pure maple syrup",Reviewed,7.5,True,True,False,True,0,2
SEA004-AI-003,SEA004,Sakura Matcha Latte,Matcha Latte,Sakura,True,True,12oz;16oz,7.25,8.25,,Ceremonial,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,True,sakura infused syrup,Reviewed,7.75,True,True,True,True,0,2
SEA004-AI-004,SEA004,Lavender Matcha Latte,Matcha Latte,Lavender,True,True,12oz;16oz,7.25,8.25,,Ceremonial,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,True,lavender syrup,Reviewed,7.75,True,True,True,True,0,2
SEA004-AI-005,SEA004,Rose Matcha Latte,Matcha Latte,Rose,True,True,12oz;16oz,7.25,8.25,,Ceremonial,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,True,rose infused syrup,Reviewed,7.75,True,True,True,True,0,2
SEA004-AI-006,SEA004,Chai Matcha Latte,Matcha Latte,Chai,True,True,12oz;16oz,6.75,7.75,,Ceremonial,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,True,"Organic ceremonial matcha, spiced chai, milk",Reviewed,7.25,True,True,True,True,0,2
SEA004-AI-007,SEA004,Vanilla Matcha Latte,Matcha Latte,Vanilla,True,True,12oz;16oz,7.25,8.25,,Ceremonial,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,True,"vanilla paste, maple syrup",Reviewed,7.75,True,True,True,True,0,2
SEA004-AI-008,SEA004,Strawberry Matcha Latte,Matcha Latte,Strawberry,False,True,12oz;16oz,7.5,8.5,,Ceremonial,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,True,fresh strawberry puree,Reviewed,8.0,True,True,True,True,0,2
SEA004-AI-009,SEA004,Double Strawberry Matcha Latte,Matcha Latte,Strawberry,False,True,16oz,9.0,9.0,,Ceremonial,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,False,with strawberry cream top,Reviewed,9.0,True,True,True,True,0,1
SEA004-AI-010,SEA004,Strawberry Cream Top Matcha Latte,Matcha Latte,Strawberry,False,True,16oz,8.5,8.5,,Ceremonial,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,False,(iced only),Reviewed,8.5,True,True,True,True,0,1
SEA004-AI-011,SEA004,Salted Cream Top Matcha Latte,Matcha Latte,Original,False,True,16oz,8.0,8.0,,Ceremonial,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,False,salted cream cold foam,Reviewed,8.0,True,True,False,True,0,1
SEA004-AI-012,SEA004,Coconut Matcha Cloud,Matcha,Coconut,False,True,12oz;16oz,7.5,8.5,,Ceremonial,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,True,(iced only) - $7.50+,Reviewed,8.0,True,True,True,True,0,2
SEA004-AI-013,SEA004,Calamansi Matcha Soda,Matcha Soda,Calamansi,False,True,12oz;16oz,5.75,6.75,,Ceremonial,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,True,"Ceremonial matcha, pure calamansi juice, club soda",Reviewed,6.25,True,True,True,True,0,2
SEA004-AI-014,SEA004,Carrot Cake Matcha Latte,Matcha Latte,Carrot Cake,False,True,16oz,8.5,8.5,,Ceremonial,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,False,Carrot Cake Matcha Latte with house made carrot cake syrup,Reviewed,8.5,True,True,True,True,0,1
SEA004-AI-015,SEA004,Banana Bread Matcha Latte,Matcha Latte,Banana Bread,False,True,16oz,8.5,8.5,,Ceremonial,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,False,Banana Bread Matcha Latte with house made banana bread syrup,Reviewed,8.5,True,True,True,True,0,1
SEA005-AI-001,SEA005,Matcha-O-Latte,Matcha Latte,Original,True,True,16oz,7.25,7.25,Oat,,Official Website,https://drip-drip-coffeehouse-seattle.cloveronline.com/menu/all,2026-08-29,False,"Matcha-O-Latte - $7.25; Matcha, oat milk, and sugarcane.",Reviewed,7.25,True,True,False,False,1,1
SEA005-AI-002,SEA005,Matcha Banana Latte,Matcha Latte,Banana,True,True,16oz,8.25,8.25,Oat,,Official Website,https://drip-drip-coffeehouse-seattle.cloveronline.com/menu/all,2026-08-29,False,Matcha Banana Latte - $8.25; paired with our in-house banana foam,Reviewed,8.25,True,True,True,False,1,1
SEA005-AI-003,SEA005,Matcha Strawberry Latte,Matcha Latte,Strawberry,True,True,16oz,8.25,8.25,Oat,,Official Website,https://drip-drip-coffeehouse-seattle.cloveronline.com/menu/all,2026-08-29,False,Matcha Strawberry Latte - $8.25; paired with our in-house strawberry jam foam.,Reviewed,8.25,True,True,True,False,1,1
SEA005-AI-004,SEA005,Matcha Mango Latte,Matcha Latte,Mango,True,True,16oz,8.25,8.25,Oat,,Official Website,https://drip-drip-coffeehouse-seattle.cloveronline.com/menu/all,2026-08-29,False,Matcha Mango Latte - $8.25; paired with our in-house mango foam.,Reviewed,8.25,True,True,True,False,1,1
SEA005-AI-005,SEA005,Matcha Salted Cheese Latte,Matcha Latte,Original,True,True,16oz,8.25,8.25,Oat,,Official Website,https://drip-drip-coffeehouse-seattle.cloveronline.com/menu/all,2026-08-29,False,Matcha Salted Cheese Latte - $8.25,Reviewed,8.25,True,True,False,False,1,1
SEA005-AI-006,SEA005,Matcha Non-Dairy Latte,Matcha Latte,Original,True,True,16oz,8.25,8.25,Oat,,Official Website,https://drip-drip-coffeehouse-seattle.cloveronline.com/menu/all,2026-08-29,False,Matcha Non-Dairy Latte - $8.25; NON-DAIRY,Reviewed,8.25,True,True,False,False,1,1
SEA005-AI-007,SEA005,Matcha Creme Brulee Latte,Matcha Latte,Creme Brulee,True,True,16oz,8.25,8.25,Oat,,Official Website,https://drip-drip-coffeehouse-seattle.cloveronline.com/menu/all,2026-08-29,False,Matcha Creme Brulee Latte - $8.25,Reviewed,8.25,True,True,True,False,1,1
SEA005-AI-008,SEA005,Matcha Salted Egg Yolk Latte,Matcha Latte,Salted Egg Yolk,True,True,16oz,8.5,8.5,Oat,,Official Website,https://drip-drip-coffeehouse-seattle.cloveronline.com/menu/all,2026-08-29,False,Matcha Salted Egg Yolk Latte - $8.50,Reviewed,8.5,True,True,True,False,1,1
SEA005-AI-009,SEA005,Matcha Sesame Latte,Matcha Latte,Sesame,True,True,16oz,8.25,8.25,Oat,,Official Website,https://drip-drip-coffeehouse-seattle.cloveronline.com/menu/all,2026-08-29,False,Matcha Sesame Latte - $8.25; paired with our in-house sesame foam.,Reviewed,8.25,True,True,True,False,1,1
SEA005-AI-010,SEA005,Matcha Blossom Latte,Matcha Latte,Cherry Blossom,True,True,16oz,8.25,8.25,Oat,,Official Website,https://drip-drip-coffeehouse-seattle.cloveronline.com/menu/all,2026-08-29,False,Matcha Blossom Latte - $8.25; cherry blossom/sakura foam.,Reviewed,8.25,True,True,True,False,1,1
SEA005-AI-011,SEA005,Double Matcha Latte,Matcha Latte,Pandan,True,True,16oz,8.25,8.25,Oat,,Official Website,https://drip-drip-coffeehouse-seattle.cloveronline.com/menu/all,2026-08-29,False,"Double Matcha Latte - $8.25; Matcha, oat milk, sugarcane, pandan",Reviewed,8.25,True,True,True,False,1,1
SEA005-AI-012,SEA005,Matcha Taro/Ube Latte,Matcha Latte,Taro; Ube,True,True,16oz,8.25,8.25,Oat,,Official Website,https://drip-drip-coffeehouse-seattle.cloveronline.com/menu/all,2026-08-29,False,Matcha Taro/Ube Latte - $8.25; taro ube foam.,Reviewed,8.25,True,True,True,False,1,1
SEA005-AI-013,SEA005,Matcha Cloud,Matcha,Coconut,False,True,16oz,6.5,6.5,Coconut,,Official Website,https://drip-drip-coffeehouse-seattle.cloveronline.com/menu/all,2026-08-29,False,Matcha Cloud - $6.50,Reviewed,6.5,True,True,True,False,1,1
SEA006-AI-001,SEA006,Ceremonial,Matcha,Original,True,True,12oz;16oz,7.0,8.0,,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed,7.5,True,True,False,True,0,2
SEA006-AI-002,SEA006,Matcha Latte,Matcha Latte,Original,True,True,12oz;16oz,7.0,8.0,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed,7.5,True,True,False,True,6,2
SEA006-AI-003,SEA006,Strawberry Matcha,Matcha Latte,Strawberry,False,True,16oz,9.0,9.0,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed,9.0,True,True,True,True,6,1
SEA006-AI-004,SEA006,Matcha Horchata,Matcha Latte,Horchata,True,True,12oz;16oz,8.5,9.5,Horchata,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed,9.0,True,True,True,True,1,2
SEA006-AI-005,SEA006,Banana Cream Matcha,Matcha Latte,Banana,False,True,16oz,9.5,9.5,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed,9.5,True,True,True,True,6,1
SEA006-AI-006,SEA006,Earl Grey Matcha,Matcha Latte,Earl Grey,False,True,16oz,8.5,8.5,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed,8.5,True,True,True,True,6,1
SEA006-AI-007,SEA006,Matcha Mallow,Matcha Latte,Marshmallow,True,True,12oz;16oz,7.5,8.5,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed,8.0,True,True,True,True,6,2
SEA006-AI-008,SEA006,Triple Matcha,Matcha Latte,Original,False,True,16oz,9.5,9.5,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed,9.5,True,True,False,True,6,1
SEA006-AI-009,SEA006,Purple Rain,Matcha Latte,Ube,False,True,16oz,10.0,10.0,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed,10.0,True,True,True,True,6,1
SEA006-AI-010,SEA006,Matcha Magic Latte,Matcha Latte,Original,True,True,12oz;16oz,8.5,9.5,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed,9.0,True,True,False,True,6,2
SEA006-AI-011,SEA006,Blueberry Matcha,Matcha Latte,Blueberry,False,True,16oz,9.5,9.5,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed,9.5,True,True,True,True,6,1
SEA006-AI-012,SEA006,Black Sesame Matcha,Matcha Latte,Black Sesame,False,True,16oz,9.0,9.0,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed,9.0,True,True,True,True,6,1
SEA006-AI-013,SEA006,Caramel Maca-iato,Matcha Latte,Caramel,True,True,12oz;16oz,8.5,9.5,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed,9.0,True,True,True,True,6,2
SEA006-AI-014,SEA006,Coconut Matcha Latte,Matcha Latte,Coconut,False,True,16oz,8.5,8.5,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed,8.5,True,True,True,True,6,1
SEA006-AI-015,SEA006,Banana Matcha,Matcha Smoothie,Banana,False,True,16oz,12.0,12.0,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed,12.0,True,True,True,True,6,1
ITM032,SEA007,Matcha Tea,Matcha,Original,True,True,,5.89,14.89,,Kanayamidori; Yabukita; Samidori,Google Maps Menu,"https://www.google.com/search?q=taz+matcha&rlz=1C5CHFA_enUS1120US1121&oq=taz+&gs_lcrp=EgZjaHJvbWUqCAgBEEUYJxg7MgYIABBFGDkyCAgBEEUYJxg7MgcIAhAuGIAEMgcIAxAAGIAEMgcIBBAuGIAEMgYIBRBFGDwyBggGEEUYPDIGCAcQRRg80gEIMzg2NWowajeoAgiwAgHxBcaklEc3dmMv&sourceid=chrome&source=chrome.ob&ie=UTF-8#lpg=cid:CgIYIQ%3D%3D,ik:CAoSFkNJSE0wb2dLRVB1OHJfZVYtYXJGUHc%3D",2026-08-30,True,Human-verified against official menu,Reviewed,10.39,True,True,False,True,0,0
ITM033,SEA007,Matcha Latte,Matcha Latte,Original,True,True,,6.89,15.89,Whole; Oat; Soy; Almond,Kanayamidori; Yabukita; Samidori,Google Maps Menu,"https://www.google.com/search?q=taz+matcha&rlz=1C5CHFA_enUS1120US1121&oq=taz+&gs_lcrp=EgZjaHJvbWUqCAgBEEUYJxg7MgYIABBFGDkyCAgBEEUYJxg7MgcIAhAuGIAEMgcIAxAAGIAEMgcIBBAuGIAEMgYIBRBFGDwyBggGEEUYPDIGCAcQRRg80gEIMzg2NWowajeoAgiwAgHxBcaklEc3dmMv&sourceid=chrome&source=chrome.ob&ie=UTF-8#lpg=cid:CgIYIQ%3D%3D,ik:CAoSFkNJSE0wb2dLRVB1OHJfZVYtYXJGUHc%3D",2026-08-30,True,Human-verified against official menu,Reviewed,11.39,True,True,False,True,4,0
ITM034,SEA007,Dirty Matcha,Matcha Latte,Coffee,False,True,,7.89,16.89,Whole; Oat; Soy; Almond,Kanayamidori; Yabukita; Samidori,Google Maps Menu,"https://www.google.com/search?q=taz+matcha&rlz=1C5CHFA_enUS1120US1121&oq=taz+&gs_lcrp=EgZjaHJvbWUqCAgBEEUYJxg7MgYIABBFGDkyCAgBEEUYJxg7MgcIAhAuGIAEMgcIAxAAGIAEMgcIBBAuGIAEMgYIBRBFGDwyBggGEEUYPDIGCAcQRRg80gEIMzg2NWowajeoAgiwAgHxBcaklEc3dmMv&sourceid=chrome&source=chrome.ob&ie=UTF-8#lpg=cid:CgIYIQ%3D%3D,ik:CAoSFkNJSE0wb2dLRVB1OHJfZVYtYXJGUHc%3D",2026-08-30,True,Human-verified against official menu,Reviewed,12.39,True,True,True,True,4,0
ITM035,SEA007,Earl Grey Matcha Latte,Matcha Latte,Earl Grey,True,True,,7.0,16.0,Whole; Oat; Soy; Almond,Kanayamidori; Yabukita; Samidori,Google Maps Menu,"https://www.google.com/search?q=taz+matcha&rlz=1C5CHFA_enUS1120US1121&oq=taz+&gs_lcrp=EgZjaHJvbWUqCAgBEEUYJxg7MgYIABBFGDkyCAgBEEUYJxg7MgcIAhAuGIAEMgcIAxAAGIAEMgcIBBAuGIAEMgYIBRBFGDwyBggGEEUYPDIGCAcQRRg80gEIMzg2NWowajeoAgiwAgHxBcaklEc3dmMv&sourceid=chrome&source=chrome.ob&ie=UTF-8#lpg=cid:CgIYIQ%3D%3D,ik:CAoSFkNJSE0wb2dLRVB1OHJfZVYtYXJGUHc%3D",2026-08-30,True,Human-verified against official menu,Reviewed,11.5,True,True,True,True,4,0
